FSA,Loss Dates,Number of Exposure_at_claim,$ Average Exposure_at_claim,Loss Frequency,Total $ Loss,event_start,event_end,climate_days_available,window_coverage_fraction,fwi_mean,fwi_max,fwi_p95,days_fwi_above_30,dc_max,dmc_max,ffmc_max,isi_max,bui_mean,Number of Exposure_current_portfolio,$ Average Exposure_current_portfolio,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T5Z,"July 22 - August 17, 2024",12300,100730.7495191398,0.00081,3222.256737676516,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,12400,93111.61366494816,101.0,0.77804788213628,13575.0,8.0
T6A,"July 22 - August 17, 2024",6100,89984.46524475148,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,6800,77926.96082068795,101.0,0.8781614020358904,9529.0,10.0
T6B,"July 22 - August 17, 2024",4100,86220.50128595877,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.16879713115083403,1.2174969696168558,0.7335760815525959,0,189.7193677782776,4.6763230133266855,79.11171776354679,1.8364858789239669,3.466131344170905,4600,75393.89924011366,101.0,0.9559019385389436,20273.0,10.0
T6C,"July 22 - August 17, 2024",10000,81038.858582711,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,10500,71323.7001793778,101.0,0.923477694562032,9213.0,11.0
T6E,"July 22 - August 17, 2024",11800,60592.28962330856,0.00084,71333.01911038195,2024-07-22,2024-08-17,27,1.0,0.16091259887186268,1.0548059619069472,0.7434327050414367,0,193.23110296635056,4.184688056411368,78.5212536878637,1.7135297542807308,3.25851355616639,12400,53659.66851693373,101.0,0.9656607700312176,21142.0,10.0
T6G,"July 22 - August 17, 2024",6500,81207.66821178207,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,6400,68685.09897879342,101.0,0.8695715962441315,6816.0,9.0
T6H,"July 22 - August 17, 2024",12000,88398.7955572678,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2086739076830715,1.7280157561948275,0.9072707024851613,0,193.62028638485185,4.967334148930753,80.34924118177968,2.068741282920464,3.496842644461446,13800,72806.26451037085,101.0,0.8191975886082528,19242.0,11.0
T6J,"July 22 - August 17, 2024",18400,93220.01107419806,0.00054,3068.658380021176,2024-07-22,2024-08-17,27,1.0,0.19072732058417893,1.6246137375209,0.7902383446443676,0,196.39389740581265,4.754924184690145,80.07045284601213,2.030680131186294,3.1638694737020674,19900,82498.56498950544,101.0,0.8322929671244278,24030.0,11.0
T6K,"July 22 - August 17, 2024",8900,79342.49365099866,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13264022042578197,0.7408091425895691,0.624788451194763,0,197.79124450683597,3.89182448387146,77.8631820678711,1.6026129722595217,2.8242953099586345,10300,71690.79257012371,101.0,0.9806081573197378,10984.0,5.0
T6L,"July 22 - August 17, 2024",16500,85972.11978825115,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13264022042578197,0.7408091425895691,0.624788451194763,0,197.79124450683597,3.89182448387146,77.8631820678711,1.6026129722595217,2.8242953099586345,19100,77053.15264802653,101.0,0.9458171745152356,18050.0,10.0
